,Jaccard,Jaccard,CD8 T,CD8 T,B,B,Memory CD4 T,Memory CD4 T,CD14+ Mono,CD14+ Mono,Naive CD4 T,Naive CD4 T,Total weight,P,C1,C2,Multiplex PageRank,PageRank-Jaccard,gene set size,membership,ID,Description
0,9.054294,7.298291,13.354567,-9.957025,14.342011,-9.081261,25.317513,17.412416,9.759297,-2.6892946,18.03116,-13.878166,#5e4fa2,#cb334d,#e45549,#e3534a,#5e4fa2,#f3faac,#5e4fa2,#ff7f0e,GO:0000002,mitochondrial genome maintenance
1,10.470778,2.909111,12.168626,-4.134334,12.990718,-5.9394355,17.975264,15.012758,8.98138,3.7282104,16.473156,-5.946466,#5e4fa2,#b61b48,#b41947,#b41947,#cfec9d,#5e4fa2,#5e4fa2,#1f77b4,GO:0000003,reproduction
2,9.200888,7.5383463,13.509093,-9.330459,14.4910555,-9.037189,24.83208,16.973333,6.496836,-2.8274825,18.183626,-13.125042,#5e4fa2,#a20643,#e75948,#e85b48,#5e4fa2,#feeda1,#5e4fa2,#ff7f0e,GO:0000012,single strand break repair
3,9.6501255,7.6428623,14.942815,-1.4358573,12.091473,-2.166746,18.537704,18.4845,12.946844,2.6837907,19.186577,-5.7847424,#5e4fa2,#b11747,#c9314c,#c9314c,#9e0142,#5e4fa2,#5e4fa2,#1f77b4,GO:0000018,regulation of DNA recombination
4,6.9848685,7.259278,12.9536705,-4.6720595,12.199512,-6.7446513,21.064892,16.802406,9.361813,1.7274467,17.355106,-8.072649,#5e4fa2,#ab0f45,#e1504b,#dc484c,#a00343,#fdc776,#5e4fa2,#1f77b4,GO:0000027,ribosomal large subunit assembly
5,7.0328074,7.328432,12.5719795,-4.456961,11.75319,-6.667124,20.207718,16.40065,9.0415945,2.1347423,17.77003,-7.4489098,#5e4fa2,#ad1246,#e3534a,#e3534a,#a00343,#fdc574,#5e4fa2,#9467bd,GO:0000028,ribosomal small subunit assembly
6,5.459653,3.4291575,16.957396,-5.283676,11.908569,-9.774032,23.116007,19.349405,8.08466,-2.4385812,21.055264,-10.233001,#5e4fa2,#ef6645,#da464d,#dd4a4c,#a20643,#fff2aa,#5e4fa2,#ff7f0e,GO:0000038,very long-chain fatty acid metabolic process
7,7.7556686,3.2195408,15.263657,-5.172126,12.810336,-7.158885,21.795206,16.729082,10.461479,1.3027145,17.623201,-7.598655,#5e4fa2,#fdad60,#af1446,#b61b48,#9e0142,#bce4a0,#5e4fa2,#1f77b4,GO:0000041,transition metal ion transport
8,8.983897,3.1120753,12.661622,-3.7357113,12.016521,-5.677041,19.785528,15.246802,9.392325,4.1738653,16.84567,-7.330716,#5e4fa2,#c72e4c,#b61b48,#b41947,#9e0142,#7ccaa5,#5e4fa2,#1f77b4,GO:0000045,autophagosome assembly
9,7.2259436,7.3741765,11.96187,-4.6010356,11.724773,-7.154952,20.925808,16.154287,9.180422,1.3994927,17.069994,-8.471799,#5e4fa2,#a00343,#fed481,#fed683,#df4e4b,#fee695,#5e4fa2,#9467bd,GO:0000054,ribosomal subunit export from nucleus
10,8.968193,6.594148,10.927628,-3.4529603,11.851611,-6.121748,17.332117,14.270173,8.069789,4.6237607,15.443704,-5.4697337,#5e4fa2,#c32a4b,#bc2249,#b61b48,#ad1246,#5e4fa2,#5e4fa2,#1f77b4,GO:0000070,mitotic sister chromatid segregation
11,9.461325,6.987677,11.200736,-2.9183912,11.673412,-6.0358043,17.32438,14.934482,9.629136,5.471415,15.286371,-4.9156194,#5e4fa2,#b11747,#ba2049,#ba2049,#c72e4c,#5e4fa2,#5e4fa2,#1f77b4,GO:0000075,cell cycle checkpoint signaling
12,9.365141,7.161715,13.704235,-10.151789,14.93095,-11.926363,25.263556,17.2831,6.509819,-2.8450456,18.643549,-13.409841,#5e4fa2,#a40844,#e85b48,#e95c47,#5e4fa2,#feca79,#5e4fa2,#ff7f0e,GO:0000076,DNA replication checkpoint signaling
13,9.556077,7.0634713,11.211886,-2.886495,11.676327,-6.099427,17.364588,14.965681,9.707573,5.493865,15.405198,-5.026165,#5e4fa2,#cb334d,#c32a4b,#cb334d,#a00343,#5e4fa2,#5e4fa2,#1f77b4,GO:0000077,DNA damage checkpoint signaling
14,9.626556,6.5190115,12.969335,-2.74809,11.908766,-4.320449,20.067913,16.228144,10.38471,4.1260114,17.317259,-7.906911,#5e4fa2,#a70b44,#da464d,#d9444d,#9e0142,#3f77b5,#5e4fa2,#1f77b4,GO:0000079,regulation of cyclin-dependent protein serine/threonine kinase activity
