,Jaccard_0,Jaccard_1,BMA - resident memory T cell_0,BMA - resident memory T cell_1,JEJEPI - naive T cell_0,JEJEPI - naive T cell_1,LLN - natural killer cell_0,LLN - natural killer cell_1,LNG - alveolar macrophage_0,LNG - alveolar macrophage_1,SPL - memory B cell_0,SPL - memory B cell_1,Description,Gene.set,Gene.set.color,gene.set,gene.set.color,ID
0,1.7936405,10.3591,-3.8024492,-23.436733,-4.0255585,-16.466211,-15.633594,-11.092777,2.062284,-11.7273035,-13.776805,1.2848575,nucleotide-excision repair complex,GO-CC,#FF4500,GO-CC,#FF4500,GO:0000109
1,0.83497006,11.818656,-2.1898532,-23.50116,-4.1030884,-16.328207,-17.347881,-10.454465,1.2999898,-9.308963,-15.481986,4.5708404,histone deacetylase complex,GO-CC,#FF4500,GO-CC,#FF4500,GO:0000118
2,1.0821648,11.4792385,-5.9425926,-22.862011,-5.741005,-11.028305,-16.37868,-10.754173,1.2132398,-7.312157,-12.43807,2.1994247,histone acetyltransferase complex,GO-CC,#FF4500,GO-CC,#FF4500,GO:0000123
3,1.3088663,11.032739,-5.2573633,-23.339813,-5.2997265,-10.474272,-16.621233,-10.077981,1.1619925,-7.792637,-13.871588,2.1164877,SAGA complex,GO-CC,#FF4500,GO-CC,#FF4500,GO:0000124
4,1.3917352,6.458847,-5.6379085,-18.031439,-3.9817424,-16.44198,-13.850853,-9.55585,2.6200385,-13.633134,-14.062711,1.1155893,Golgi cis cisterna,GO-CC,#FF4500,GO-CC,#FF4500,GO:0000137
5,1.5296582,6.8039374,0.17349842,-19.563051,-3.066972,-15.406828,-16.889517,-8.917912,2.0009942,-12.587298,-14.207584,1.2270852,Golgi trans cisterna,GO-CC,#FF4500,GO-CC,#FF4500,GO:0000138
6,1.6191913,7.0805073,-6.239102,-21.432684,-4.2177243,-12.3867,-12.6304,-2.4840584,1.0805755,0.98224723,-1.2902809,2.276357,Golgi membrane,GO-CC,#FF4500,GO-CC,#FF4500,GO:0000139
7,0.46309832,8.981693,-6.1497736,-17.449152,-4.45139,-16.09216,-14.201522,-10.34655,2.1972127,-12.107567,-14.177417,1.2190226,exocyst,GO-CC,#FF4500,GO-CC,#FF4500,GO:0000145
8,2.4447918,10.295436,-6.1295857,-22.265074,-3.9090056,-11.680643,-13.011743,-3.067276,0.78848445,-9.056902,-8.020376,2.966826,ubiquitin ligase complex,GO-CC,#FF4500,GO-CC,#FF4500,GO:0000151
9,2.1900978,10.885567,-0.090939365,-20.77827,-5.4925804,-13.495163,-16.272781,-11.852015,2.2267275,-11.452969,-14.577684,1.9695749,nuclear ubiquitin ligase complex,GO-CC,#FF4500,GO-CC,#FF4500,GO:0000152
10,2.2705324,9.240431,0.15040727,-24.831392,-4.0927086,-8.279731,-16.77908,-10.976361,2.5057957,-12.086146,-14.922059,1.0209453,cytoplasmic ubiquitin ligase complex,GO-CC,#FF4500,GO-CC,#FF4500,GO:0000153
11,1.7251889,9.883081,-3.342856,-24.082193,1.1741384,-13.26946,-16.62501,-11.431675,0.49351737,-9.3586035,-14.172387,1.6952128,protein phosphatase type 2A complex,GO-CC,#FF4500,GO-CC,#FF4500,GO:0000159
12,1.1011208,9.849489,-3.0498135,-24.539589,1.2950757,-13.254886,-17.275051,-11.480899,0.546743,-9.159366,-13.840358,2.27821,protein phosphatase type 1 complex,GO-CC,#FF4500,GO-CC,#FF4500,GO:0000164
13,3.4287224,10.45398,-1.5371493,-21.414064,-3.9940464,-14.341068,-15.318149,-11.84761,2.0557806,-12.626848,-15.9220295,3.523255,ribonuclease MRP complex,GO-CC,#FF4500,GO-CC,#FF4500,GO:0000172
14,3.246037,10.585815,-5.2831635,-23.691385,1.4763412,-12.966303,-16.735483,-11.965427,2.3688512,-11.152351,-15.606853,5.0081134,nuclear exosome (RNase complex),GO-CC,#FF4500,GO-CC,#FF4500,GO:0000176
15,3.284237,10.252526,-4.877296,-24.175982,1.7117802,-13.117092,-16.86402,-11.485146,2.3245716,-11.180408,-15.83837,5.140935,cytoplasmic exosome (RNase complex),GO-CC,#FF4500,GO-CC,#FF4500,GO:0000177
16,3.1998177,10.148067,-5.2835765,-23.823935,1.6282796,-13.114497,-16.631838,-11.976109,2.3251152,-11.4279785,-15.815616,5.0425215,exosome (RNase complex),GO-CC,#FF4500,GO-CC,#FF4500,GO:0000178
17,1.558234,11.054862,-7.509078,-21.145763,-2.439391,-12.609292,-14.7209,-9.762244,4.7813106,1.3274945,-3.3444629,0.22293194,nuclear chromosome,GO-CC,#FF4500,GO-CC,#FF4500,GO:0000228
18,0.23563847,10.5898695,0.06972773,-22.4031,-5.388199,-15.682097,-15.081764,-10.351306,1.5930992,-12.932572,-14.342162,3.1953192,astral microtubule,GO-CC,#FF4500,GO-CC,#FF4500,GO:0000235
19,0.14915209,10.385263,-6.299762,-18.116978,-4.1371164,-16.025328,-14.399005,-10.1495,2.9471233,-13.4132595,-14.298304,1.258295,pericentriolar material,GO-CC,#FF4500,GO-CC,#FF4500,GO:0000242
20,3.2369528,8.4847765,-4.8448114,-23.94799,-3.8477108,-8.097681,-17.478214,-9.091087,2.0965834,-7.9574976,-12.215775,4.101149,"mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)",GO-CC,#FF4500,GO-CC,#FF4500,GO:0000276
21,2.316324,10.605275,-4.555725,-23.454025,-4.74303,-9.408823,-16.12134,-10.826363,1.4057007,-8.982096,-12.766338,4.744209,cyclin-dependent protein kinase holoenzyme complex,GO-CC,#FF4500,GO-CC,#FF4500,GO:0000307
22,3.7265909,9.530249,-7.928194,-20.468767,-3.693759,-14.723122,-15.663218,-5.626736,2.2861414,-2.864194,-10.004279,3.6507013,organellar ribosome,GO-CC,#FF4500,GO-CC,#FF4500,GO:0000313
23,3.6892245,9.169705,-8.065909,-20.968346,-3.9512763,-14.701668,-15.814848,-6.3986526,2.413462,-3.574899,-10.960219,3.6000288,organellar small ribosomal subunit,GO-CC,#FF4500,GO-CC,#FF4500,GO:0000314
24,3.6898956,9.353709,-8.271377,-20.397873,-3.6789246,-14.789867,-15.908934,-6.107217,2.2011032,-2.487334,-10.735395,3.5457876,organellar large ribosomal subunit,GO-CC,#FF4500,GO-CC,#FF4500,GO:0000315
25,2.4283721,6.678285,-5.8725805,-18.323282,-4.788663,-11.788219,-11.832253,-2.829512,2.337964,2.3773477,-4.6345277,1.3496245,lytic vacuole,GO-CC,#FF4500,GO-CC,#FF4500,GO:0000323
26,2.042122,11.470175,-6.316858,-18.04185,-2.032959,-16.858015,-14.304896,-9.895353,2.643468,-13.51033,-14.280279,1.2083112,transcription export complex,GO-CC,#FF4500,GO-CC,#FF4500,GO:0000346
27,1.8836778,7.9897714,-2.2175422,-23.403582,-0.64722383,-14.551576,-17.078484,-9.917983,2.4318693,-12.120889,-14.99473,3.4464724,phagophore assembly site,GO-CC,#FF4500,GO-CC,#FF4500,GO:0000407
28,2.1840296,7.494785,-0.67580146,-20.047272,-5.6045227,-10.677059,-15.736132,-8.245339,2.2554786,-12.069335,-13.428151,3.8945062,autophagosome membrane,GO-CC,#FF4500,GO-CC,#FF4500,GO:0000421
29,2.0146172,10.514813,-5.2415576,-23.524424,-4.7772045,-9.979668,-16.751503,-10.252958,1.6432283,-6.5109544,-11.549842,5.320547,DNA-directed RNA polymerase complex,GO-CC,#FF4500,GO-CC,#FF4500,GO:0000428
30,1.9158229,10.566333,-4.1426625,-23.938295,-4.6029572,-9.581412,-15.570202,-10.89635,2.4019468,-11.5209255,-13.540005,3.485843,transcription factor TFIIH core complex,GO-CC,#FF4500,GO-CC,#FF4500,GO:0000439
31,2.814319,8.992665,-5.6363277,-23.06133,0.3738539,-14.864885,-12.937241,-7.529338,2.008082,-8.678719,-12.79337,2.519027,proteasome complex,GO-CC,#FF4500,GO-CC,#FF4500,GO:0000502
32,1.5999489,10.625978,-4.7782907,-20.143343,-3.1101663,-10.6399145,-14.879917,-4.9102764,3.3630571,-1.9101903,-2.224598,-0.1710781,"chromosome, centromeric region",GO-CC,#FF4500,GO-CC,#FF4500,GO:0000775
33,1.3437396,10.623109,-4.717895,-20.11084,-3.2667882,-10.720377,-15.051608,-5.204658,3.1756892,-1.8650881,-2.177882,-0.111654736,kinetochore,GO-CC,#FF4500,GO-CC,#FF4500,GO:0000776
34,1.4567513,10.5403385,-4.7668123,-20.116291,-3.3431573,-10.553084,-14.884554,-5.1169915,3.435264,-1.992091,-2.1802819,0.031579573,"condensed chromosome, centromeric region",GO-CC,#FF4500,GO-CC,#FF4500,GO:0000779
35,1.8095076,11.0618725,-5.774246,-21.502642,-3.2944732,-11.042106,-14.814039,-5.0329742,2.7339995,-1.4275057,-5.6382537,0.18539296,"chromosome, telomeric region",GO-CC,#FF4500,GO-CC,#FF4500,GO:0000781
36,1.4337336,10.835066,-3.5739005,-23.805708,-5.6446824,-11.411658,-15.295669,-10.439948,0.9827632,-11.773501,-14.710781,3.1664624,telomere cap complex,GO-CC,#FF4500,GO-CC,#FF4500,GO:0000782
37,1.5607601,10.922308,-3.714657,-23.750263,-5.8652806,-11.486519,-15.409317,-10.440488,1.073451,-11.727336,-14.877531,3.1609895,nuclear telomere cap complex,GO-CC,#FF4500,GO-CC,#FF4500,GO:0000783
38,2.0289078,11.076094,-7.08633,-20.315218,-2.5226254,-11.825082,-11.37897,-4.631358,4.5098333,2.7004397,-3.324407,3.4417539,chromatin,GO-CC,#FF4500,GO-CC,#FF4500,GO:0000785
39,2.5840917,10.765391,-1.5748069,-21.16439,-5.58428,-12.45047,-16.639229,-10.04045,1.9104812,-12.635758,-15.212542,2.2701159,nucleosome,GO-CC,#FF4500,GO-CC,#FF4500,GO:0000786
40,1.520243,10.994163,-5.3213186,-16.922686,-3.7007396,-16.156893,-14.220365,-9.880081,5.288593,3.6617148,-14.499045,1.1256527,euchromatin,GO-CC,#FF4500,GO-CC,#FF4500,GO:0000791
41,1.5063789,10.835031,-1.9346837,-23.35836,-3.8489654,-14.869283,-16.981432,-11.344222,3.1672542,-1.6820667,-15.126253,3.3698795,heterochromatin,GO-CC,#FF4500,GO-CC,#FF4500,GO:0000792
42,1.274247,10.680562,-4.7649484,-20.140734,-3.3016672,-10.673969,-14.7795315,-4.745914,3.3829155,-2.0996807,-2.2979867,-0.10544022,condensed chromosome,GO-CC,#FF4500,GO-CC,#FF4500,GO:0000793
43,1.0401075,10.851754,-3.9924839,-23.042479,-1.7361252,-14.556854,-14.769983,-10.028387,2.3616052,-10.817361,-15.411581,2.6213613,condensed nuclear chromosome,GO-CC,#FF4500,GO-CC,#FF4500,GO:0000794
44,0.84871083,10.823645,-4.2577996,-23.578001,-2.0893486,-14.723361,-15.093444,-10.450389,2.3285367,-11.271308,-15.341649,2.645633,synaptonemal complex,GO-CC,#FF4500,GO-CC,#FF4500,GO:0000795
45,0.5616021,10.670423,3.3629012,-21.027632,4.0570283,-3.7237394,-18.00511,-10.88106,2.8339794,-13.508977,-12.343909,-0.5456706,lateral element,GO-CC,#FF4500,GO-CC,#FF4500,GO:0000800
46,1.1259995,11.056724,-0.004219345,-23.64216,1.8054391,-11.129992,-16.468657,-9.91675,1.1874397,-12.1349535,-14.074084,1.6554179,sex chromosome,GO-CC,#FF4500,GO-CC,#FF4500,GO:0000803
47,0.62387174,11.61697,-2.5722606,-23.075613,-5.4173627,-13.7497635,-16.50444,-9.717413,1.9454691,-11.779568,-14.720295,2.3565087,Swr1 complex,GO-CC,#FF4500,GO-CC,#FF4500,GO:0000812
48,2.726283,6.547992,-0.50349176,-19.785671,-4.2258644,-16.268822,-14.058884,-9.972804,1.9085901,-13.109578,-13.70269,2.294891,ESCRT I complex,GO-CC,#FF4500,GO-CC,#FF4500,GO:0000813
49,1.7213054,6.965638,-0.42915985,-19.224968,-5.3185363,-11.2458315,-15.746956,-10.844147,2.0045395,-13.068504,-13.727441,2.7409995,ESCRT III complex,GO-CC,#FF4500,GO-CC,#FF4500,GO:0000815
50,2.2733614,8.589758,-0.05736969,-24.629269,-4.312054,-8.32289,-17.025585,-10.810104,2.6488194,-12.121554,-15.026093,0.85902786,ER ubiquitin ligase complex,GO-CC,#FF4500,GO-CC,#FF4500,GO:0000835
51,2.322718,8.652717,-0.0038067822,-24.696053,-4.277958,-8.339526,-17.289764,-10.760275,2.5156465,-12.1307335,-14.780428,0.75839907,Hrd1p ubiquitin ligase complex,GO-CC,#FF4500,GO-CC,#FF4500,GO:0000836
52,0.71823704,10.419009,-4.712416,-19.70265,-3.2731597,-11.290712,-13.521823,-5.072863,2.1404676,-1.4062818,-8.953764,3.282583,spindle pole,GO-CC,#FF4500,GO-CC,#FF4500,GO:0000922
53,0.3670847,10.168314,-6.066272,-17.575367,-3.765336,-16.151577,-14.176533,-9.322906,2.83546,-13.014799,-14.085123,1.1933724,gamma-tubulin complex,GO-CC,#FF4500,GO-CC,#FF4500,GO:0000930
